"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",18.3,11.5,13.1,17.5,"Uttar Pradesh",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",25.5,20.8,22.1,26.2,"Uttar Pradesh",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",71.4,62.5,64.6,47.4,"Uttar Pradesh",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80.7,77.3,78.2,73.1,"Uttar Pradesh",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",90.1,86.8,87.6,81.7,"Uttar Pradesh",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",17.7,14.8,15.5,16.6,"Uttar Pradesh",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",46.8,53.5,51.9,34.2,"Uttar Pradesh",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",79.8,74.1,75.4,54.6,"Uttar Pradesh",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",59.9,42.4,46.5,37.1,"Uttar Pradesh",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",86.7,68.4,72.6,47.1,"Uttar Pradesh",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",32.7,35.5,34.8,36.7,"Uttar Pradesh",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",3.1,3.8,3.7,4.3,"Uttar Pradesh",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",0.6,0.7,0.7,1.1,"Uttar Pradesh",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",6.5,9.1,8.4,NA,"Uttar Pradesh",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",34.7,47.6,44.1,NA,"Uttar Pradesh",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",0.3,0.3,0.3,NA,"Uttar Pradesh",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",13.2,15.1,14.6,NA,"Uttar Pradesh",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",82.4,72,75.2,72.7,"Uttarakhand",NA,NA,NA,NA
"2. Population below age 15 years (%)",24.7,27.1,26.3,28.9,"Uttarakhand",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",943,1052,1016,1015,"Uttarakhand",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1094,937,984,888,"Uttarakhand",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",92.2,91.8,91.9,76.7,"Uttarakhand",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",81.4,68.4,72.3,NA,"Uttarakhand",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.7,99.6,99.6,97.8,"Uttarakhand",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",99.6,94.2,95.9,93.6,"Uttarakhand",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",81,77.7,78.8,66.2,"Uttarakhand",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",92.9,42.9,59.2,51,"Uttarakhand",NA,NA,NA,NA
"11. Households using iodized salt (%)",95.4,92.2,93.2,95.3,"Uttarakhand",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",61.6,62.9,62.5,19.5,"Uttarakhand",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",35.8,32.2,33.2,NA,"Uttarakhand",NA,NA,NA,NA
"14. Women who are literate4 (%)",83.4,78,79.8,NA,"Uttarakhand",NA,NA,NA,NA
"15. Men who are literate4 (%)",87.5,90.1,89.3,NA,"Uttarakhand",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",59.4,46,50.4,44.6,"Uttarakhand",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",62.2,58.7,59.8,53.6,"Uttarakhand",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",58.4,39.4,45.1,NA,"Uttarakhand",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",82.1,71.2,74.6,NA,"Uttarakhand",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",10,9.8,9.8,13.8,"Uttarakhand",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",21,13.8,16.7,17.1,"Uttarakhand",NA,NA,NA,NA
"22. Total fertility rate (children per woman)",1.8,1.9,1.9,2.1,"Uttarakhand",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.1,2.6,2.5,2.8,"Uttarakhand",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",17,21,19,23,"Uttarakhand",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",36.2,30.6,32.4,27.9,"Uttarakhand",NA,NA,NA,NA
"26. Infant mortality rate (IMR)",38.3,39.5,39.1,39.7,"Uttarakhand",NA,NA,NA,NA
"27. Under-five mortality rate (U5MR)",46.2,45.3,45.6,46.5,"Uttarakhand",NA,NA,NA,NA
"28. Any method6 (%)",73.5,69.5,70.8,53.4,"Uttarakhand",NA,NA,NA,NA
"29. Any modern method6 (%)",59.5,57.1,57.8,49.3,"Uttarakhand",NA,NA,NA,NA
"30. Female sterilization (%)",17.8,29.8,26,27.4,"Uttarakhand",NA,NA,NA,NA
"31. Male sterilization (%)",0.2,0.9,0.7,0.7,"Uttarakhand",NA,NA,NA,NA
"32. IUD/PPIUD (%)",2,1.3,1.5,1.6,"Uttarakhand",NA,NA,NA,NA
"33. Pill (%)",2.6,2.7,2.7,3.2,"Uttarakhand",NA,NA,NA,NA
"34. Condom (%)",35.4,21,25.6,16.1,"Uttarakhand",NA,NA,NA,NA
"35. Injectables (%)",0.6,0.3,0.4,0.2,"Uttarakhand",NA,NA,NA,NA
"36. Total unmet need7 (%)",6.5,9.9,8.8,15.5,"Uttarakhand",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",2.3,3.6,3.2,5.2,"Uttarakhand",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",20.3,20.1,20.2,15.2,"Uttarakhand",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",62,60.3,60.7,45.4,"Uttarakhand",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",74.6,66,68.8,53.5,"Uttarakhand",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",71,57.3,61.8,30.9,"Uttarakhand",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",95.2,92.8,93.6,91.4,"Uttarakhand",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",52.1,43.8,46.6,24.9,"Uttarakhand",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",28.7,23.2,25,7.2,"Uttarakhand",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.5,96.9,97.1,93.4,"Uttarakhand",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",84,75,78,54.8,"Uttarakhand",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3124,3447,3343,2618,"Uttarakhand",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",7.7,1.7,3.1,2.4,"Uttarakhand",NA,NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",84.1,76.4,78.9,NA,"Uttarakhand",NA,NA,NA,NA
"50. Institutional births (%)",89.4,80.4,83.2,68.6,"Uttarakhand",NA,NA,NA,NA
"51. Institutional births in public facility (%)",52.3,53.8,53.3,43.8,"Uttarakhand",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",1.3,4.4,3.4,4.6,"Uttarakhand",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",86.6,82.4,83.7,71.2,"Uttarakhand",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",28.6,16.7,20.4,13.1,"Uttarakhand",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",47,40.9,43.3,36.4,"Uttarakhand",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",21.4,10.7,14,9.3,"Uttarakhand",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",82,80.2,80.8,57.6,"Uttarakhand",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",86,89.9,88.6,71,"Uttarakhand",NA,NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",92.5,96.5,95.2,92.8,"Uttarakhand",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",85.3,83.4,84,67.9,"Uttarakhand",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",91.8,88.7,89.7,79.9,"Uttarakhand",NA,NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",91.1,90.3,90.6,80.4,"Uttarakhand",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",41,33.4,35.8,NA,"Uttarakhand",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",38.5,29.4,32.3,NA,"Uttarakhand",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",88.6,85.7,86.6,59.4,"Uttarakhand",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",58.7,51.4,53.7,40.2,"Uttarakhand",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",93.7,96,95.3,91,"Uttarakhand",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",5.3,2,3,6.3,"Uttarakhand",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",5.1,4.1,4.4,17,"Uttarakhand",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",62.6,52,55.9,56,"Uttarakhand","Based on 25-49 unweighted cases",NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",40.8,23.8,30.1,30.3,"Uttarakhand","Based on 25-49 unweighted cases",NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",91.2,72.8,79.6,73.7,"Uttarakhand","Based on 25-49 unweighted cases",NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",3,1.9,2.3,4.6,"Uttarakhand",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",70.3,71.4,71,79,"Uttarakhand",NA,NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",42.8,40.6,41.3,27.8,"Uttarakhand",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",45,56.4,52.5,51.2,"Uttarakhand",NA,NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",58.9,47,50.6,46.7,"Uttarakhand","Based on 25-49 unweighted cases",NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",13.4,13.1,13.2,8.6,"Uttarakhand",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",13.1,8.6,10.3,7.8,"Uttarakhand",NA,NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",13.3,12.2,12.5,8.5,"Uttarakhand",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",24.3,28.2,27,33.5,"Uttarakhand",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.4,11.3,13.2,19.5,"Uttarakhand",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",4.7,4.7,4.7,9,"Uttarakhand",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",21,20.9,21,26.6,"Uttarakhand",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",4.4,3.9,4.1,3.5,"Uttarakhand",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",11.6,14.9,13.9,18.4,"Uttarakhand",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",20.7,14.1,16.2,16.1,"Uttarakhand",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",39.1,25.4,29.7,20.4,"Uttarakhand",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",31.4,25,27.1,17.7,"Uttarakhand",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (>0.85) (%)",62.8,63,62.9,NA,"Uttarakhand",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (>0.90) (%)",60.4,53.9,56,NA,"Uttarakhand",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",63.8,56.6,58.8,59.8,"Uttarakhand",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",45.6,41,42.4,45.1,"Uttarakhand",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",51.9,44.3,46.4,46.5,"Uttarakhand",NA,NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",45.8,41.1,42.6,45.2,"Uttarakhand",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",41,40.9,40.9,46.4,"Uttarakhand",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",14.2,15.6,15.1,15.6,"Uttarakhand",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",31.2,26.3,27.6,22.2,"Uttarakhand","Based on 25-49 unweighted cases",NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",4.4,4.1,4.2,NA,"Uttarakhand",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",7.6,4.8,5.6,NA,"Uttarakhand",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",14,9.6,10.8,NA,"Uttarakhand",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",5.4,5.7,5.6,NA,"Uttarakhand",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",9.7,6.6,7.6,NA,"Uttarakhand",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.3,13.3,14.3,NA,"Uttarakhand",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.3,13.4,13.7,NA,"Uttarakhand",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",6.1,6.3,6.3,NA,"Uttarakhand",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",25.4,22,22.9,NA,"Uttarakhand",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",21.2,19.6,20.1,NA,"Uttarakhand",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",10.2,9.2,9.5,NA,"Uttarakhand",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",34.8,30.5,31.8,NA,"Uttarakhand",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",0.9,0.2,0.4,NA,"Uttarakhand",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",0.2,0.2,0.2,NA,"Uttarakhand",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",0,0.5,0.3,NA,"Uttarakhand",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",0,0.5,0.4,NA,"Uttarakhand",NA,NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",33.6,20.6,24.5,28.6,"Uttarakhand",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",42.1,33.3,36.1,36.5,"Uttarakhand",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80.4,71,73.8,65.3,"Uttarakhand",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",91.4,91.6,91.5,83.4,"Uttarakhand",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",91.8,90.6,91,89.8,"Uttarakhand",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",20.2,22.2,21.6,15.5,"Uttarakhand",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",23.3,25.1,24.6,29.2,"Uttarakhand",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",81.3,79.8,80.2,58.5,"Uttarakhand",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",73.1,55.7,60.9,55.4,"Uttarakhand",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",94.5,89.7,91.2,69.9,"Uttarakhand",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",12.5,16.2,15.1,12.7,"Uttarakhand",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.4,2,2.1,1.4,"Uttarakhand",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",0,0.4,0.3,0.1,"Uttarakhand",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",2.8,5.4,4.6,NA,"Uttarakhand",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",27.6,36.8,33.7,NA,"Uttarakhand",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",0.3,0.4,0.3,NA,"Uttarakhand",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",21.7,27.5,25.5,NA,"Uttarakhand",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",86.8,69.2,86.7,83.7,"Chandigarh",NA,NA,NA,NA
"2. Population below age 15 years (%)",23.2,32.3,23.3,22.9,"Chandigarh",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",918,868,917,934,"Chandigarh",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",820,NA,838,981,"Chandigarh",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98,NA,97.6,95.1,"Chandigarh",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",93.6,NA,93.6,NA,"Chandigarh",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.9,100,99.9,99.6,"Chandigarh",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",99.1,100,99.1,100,"Chandigarh",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",85.4,47.6,85,83.7,"Chandigarh",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",95.8,NA,95.8,93.9,"Chandigarh",NA,NA,NA,NA
"11. Households using iodized salt (%)",96.8,NA,96.8,99,"Chandigarh",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",32.3,NA,32.2,21.3,"Chandigarh",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",6.4,NA,6.3,NA,"Chandigarh",NA,NA,NA,NA
"14. Women who are literate4 (%)",78.9,57.7,78.7,NA,"Chandigarh",NA,NA,NA,NA
"15. Men who are literate4 (%)",90.2,NA,90.2,NA,"Chandigarh",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",59.9,30.8,59.6,59.2,"Chandigarh",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",64.5,NA,64.5,65.9,"Chandigarh",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",75.2,NA,75.2,NA,"Chandigarh",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",91.9,NA,91.9,NA,"Chandigarh",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",9.8,NA,9.7,12.7,"Chandigarh",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"22. Total fertility rate (children per woman)",1.4,NA,1.4,1.6,"Chandigarh",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0.8,NA,0.8,2.1,"Chandigarh",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",9,0,9,20,"Chandigarh",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"26. Infant mortality rate (IMR)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"27. Under-five mortality rate (U5MR)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"28. Any method6 (%)",77.5,NA,77.4,74,"Chandigarh",NA,NA,NA,NA
"29. Any modern method6 (%)",55.8,NA,55.6,58.2,"Chandigarh",NA,NA,NA,NA
"30. Female sterilization (%)",19,NA,19,20.6,"Chandigarh",NA,NA,NA,NA
"31. Male sterilization (%)",0.3,NA,0.3,1.3,"Chandigarh",NA,NA,NA,NA
"32. IUD/PPIUD (%)",4.3,NA,4.2,5.4,"Chandigarh",NA,NA,NA,NA
"33. Pill (%)",0.4,NA,0.5,3.6,"Chandigarh",NA,NA,NA,NA
"34. Condom (%)",31.2,NA,31.1,27.3,"Chandigarh",NA,NA,NA,NA
"35. Injectables (%)",0,NA,0,0,"Chandigarh",NA,NA,NA,NA
"36. Total unmet need7 (%)",7,NA,6.9,6.3,"Chandigarh",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",2.5,NA,2.5,1.8,"Chandigarh",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",34.3,NA,34,25.1,"Chandigarh",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",91.5,NA,91.7,62.6,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",82.2,NA,82.3,67.4,"Chandigarh",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",79.1,NA,78.7,64.5,"Chandigarh",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",93.1,NA,93.2,95.1,"Chandigarh",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",73.9,NA,73.9,44.9,"Chandigarh",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",64.3,NA,64.5,29.8,"Chandigarh",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.4,NA,97.2,98,"Chandigarh",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90.5,NA,90.6,89,"Chandigarh",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",5586,NA,5546,2357,"Chandigarh",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.4,NA,89.3,NA,"Chandigarh",NA,NA,NA,NA
"50. Institutional births (%)",97,NA,96.9,91.6,"Chandigarh",NA,NA,NA,NA
"51. Institutional births in public facility (%)",83.4,NA,83.2,72.4,"Chandigarh",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",0,NA,0.2,1.7,"Chandigarh",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",97,NA,97,93.3,"Chandigarh",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",31.7,NA,31.3,22.6,"Chandigarh",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",44.8,NA,44.3,44,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",30.6,NA,30.4,19.5,"Chandigarh",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",81.7,NA,80.9,79.5,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",83.6,NA,82.8,93.2,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",96.7,NA,96.8,95.9,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",81.7,NA,80.9,79.5,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",88.7,NA,87.9,95.9,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",88.7,NA,87.9,95.9,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",15.1,NA,15,NA,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",85.7,NA,84.9,NA,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",85.7,NA,84.9,82.7,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",72.4,NA,72.6,56.1,"Chandigarh",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",92.8,NA,92.9,93.1,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
