"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"2539","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",50.5,50.5,50.5,39.3,"Jammu & Kashmir","Based on 25-49 unweighted cases","","",""
"2540","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",76.1,74.7,74.9,74.2,"Jammu & Kashmir","Based on 25-49 unweighted cases","","",""
"2541","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.9,4.1,3.9,5.5,"Jammu & Kashmir","","","",""
"2542","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",63.7,62.1,62.3,78.5,"Jammu & Kashmir","","","",""
"2543","75. Children under age 3 years breastfed within one hour of birth15 (%)",54.9,55.9,55.6,45.7,"Jammu & Kashmir","","","",""
"2544","76. Children under age 6 months exclusively breastfed16 (%)",68.1,59.9,62,65.4,"Jammu & Kashmir","","","",""
"2545","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",44.3,41,41.8,50.2,"Jammu & Kashmir","Based on 25-49 unweighted cases","","",""
"2546","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",11.9,12.5,12.4,21.8,"Jammu & Kashmir","","","",""
"2547","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",15,24.5,22.2,32,"Jammu & Kashmir","Based on 25-49 unweighted cases","","",""
"2548","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",12.3,14,13.6,23.5,"Jammu & Kashmir","","","",""
"2549","81. Children under 5 years who are stunted (height-for-age)18 (%)",30.1,25.9,26.9,27.4,"Jammu & Kashmir","","","",""
"2550","82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.6,19.4,19,12.2,"Jammu & Kashmir","","","",""
"2551","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",9.6,9.7,9.7,5.6,"Jammu & Kashmir","","","",""
"2552","84. Children under 5 years who are underweight (weight-for-age)18 (%)",19.4,21.5,21,16.6,"Jammu & Kashmir","","","",""
"2553","85. Children under 5 years who are overweight (weight-for-height)20 (%)",10.8,9.3,9.6,5.7,"Jammu & Kashmir","","","",""
"2554","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",3.7,5.8,5.2,12.2,"Jammu & Kashmir","","","",""
"2555","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.5,5,4.3,11.5,"Jammu & Kashmir","","","",""
"2556","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",33.4,27.9,29.3,29.3,"Jammu & Kashmir","","","",""
"2557","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",40.8,28.2,31.6,20.5,"Jammu & Kashmir","","","",""
"2558","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",89.2,87.3,87.8,NA,"Jammu & Kashmir","","","",""
"2559","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",66,58.7,60.7,NA,"Jammu & Kashmir","","","",""
"2560","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",70.1,73.5,72.7,53.8,"Jammu & Kashmir","","","",""
"2561","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",62.5,69,67.3,49,"Jammu & Kashmir","","","",""
"2562","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",44.1,44.1,44.1,46.9,"Jammu & Kashmir","","","",""
"2563","95. All women age 15-49 years who are anaemic22 (%)",61.4,67.5,65.9,48.9,"Jammu & Kashmir","","","",""
"2564","96. All women age 15-19 years who are anaemic22 (%)",71.5,77.5,76.2,49.9,"Jammu & Kashmir","","","",""
"2565","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",28,40,36.7,20.4,"Jammu & Kashmir","","","",""
"2566","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",37.9,60.1,53.5,29.5,"Jammu & Kashmir","","","",""
"2567","99. Blood sugar level - high (141-160 mg/dl)23 (%)",3.9,4.3,4.2,NA,"Jammu & Kashmir","","","",""
"2568","100. Blood sugar level - very high (>160 mg/dl)23 (%)",3.4,3,3.1,NA,"Jammu & Kashmir","","","",""
"2569","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",9.2,8.6,8.7,NA,"Jammu & Kashmir","","","",""
"2570","102. Blood sugar level - high (141-160 mg/dl)23 (%)",4,4.4,4.3,NA,"Jammu & Kashmir","","","",""
"2571","103. Blood sugar level - very high (>160 mg/dl)23 (%)",2.9,2.7,2.7,NA,"Jammu & Kashmir","","","",""
"2572","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",8.1,8,8,NA,"Jammu & Kashmir","","","",""
"2573","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",11.4,11.8,11.7,NA,"Jammu & Kashmir","","","",""
"2574","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",3,3.1,3,NA,"Jammu & Kashmir","","","",""
"2575","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",21.2,19.6,20,NA,"Jammu & Kashmir","","","",""
"2576","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12.5,12.2,12.3,NA,"Jammu & Kashmir","","","",""
"2577","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",2.8,2.7,2.8,NA,"Jammu & Kashmir","","","",""
"2578","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",20.1,18.5,18.9,NA,"Jammu & Kashmir","","","",""
"2579","111. Ever undergone a screening test for cervical cancer (%)",0.3,0.6,0.5,NA,"Jammu & Kashmir","","","",""
"2580","112. Ever undergone a breast examination for breast cancer (%)",0.1,0.4,0.3,NA,"Jammu & Kashmir","","","",""
"2581","113. Ever undergone an oral cavity examination for oral cancer (%)",0.1,0.9,0.7,NA,"Jammu & Kashmir","","","",""
"2582","114. Ever undergone an oral cavity examination for oral cancer (%)",0.1,1.6,1.1,NA,"Jammu & Kashmir","","","",""
"2583","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",17.4,15.2,15.8,18.9,"Jammu & Kashmir","","","",""
"2584","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",27.3,36,33.6,24.6,"Jammu & Kashmir","","","",""
"2585","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",72,62.7,65.3,68.5,"Jammu & Kashmir","","","",""
"2586","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",65.5,78.1,74.6,83.7,"Jammu & Kashmir","","","",""
"2587","119. Currently married women who usually participate in three household decisions25 (%)",81.3,81.7,81.6,84,"Jammu & Kashmir","","","",""
"2588","120. Women who worked in the last 12 months and were paid in cash (%)",18.1,18.5,18.4,12.3,"Jammu & Kashmir","","","",""
"2589","121. Women owning a house and/or land (alone or jointly with others) (%)",48.2,60.8,57.3,33.1,"Jammu & Kashmir","","","",""
"2590","122. Women having a bank or savings account that they themselves use (%)",88.5,83.5,84.9,60,"Jammu & Kashmir","","","",""
"2591","123. Women having a mobile phone that they themselves use (%)",80.4,73.3,75.2,53.9,"Jammu & Kashmir","","","",""
"2592","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",85.8,69.6,73.4,66.6,"Jammu & Kashmir","","","",""
"2593","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",5.9,11,9.6,9.4,"Jammu & Kashmir","","","",""
"2594","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0.3,1.6,1.2,1.3,"Jammu & Kashmir","","","",""
"2595","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.4,5,4,3.1,"Jammu & Kashmir","","","",""
"2596","128. Women age 15 years and above who use any kind of tobacco (%)",1.8,4.2,3.6,NA,"Jammu & Kashmir","","","",""
"2597","129. Men age 15 years and above who use any kind of tobacco (%)",32,40.6,38.3,NA,"Jammu & Kashmir","","","",""
"2598","130. Women age 15 years and above who consume alcohol (%)",0.1,0.2,0.2,NA,"Jammu & Kashmir","","","",""
"2599","131. Men age 15 years and above who consume alcohol (%)",7.7,9.2,8.8,NA,"Jammu & Kashmir","","","",""
"2600","1. Female population age 6 years and above who ever attended school (%)",68.7,67.8,68,62.5,"Ladakh","","","",""
"2601","2. Population below age 15 years (%)",22.9,22.8,22.8,28,"Ladakh","","","",""
"2602","3. Sex ratio of the total population (females per 1,000 males)",994,966,971,1000,"Ladakh","","","",""
"2603","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",897,1193,1125,823,"Ladakh","","","",""
"2604","5. Children under age 5 years whose birth was registered with the civil authority (%)",100,98.2,98.6,77.3,"Ladakh","","","",""
"2605","6. Deaths in the last 3 years registered with the civil authority (%)",82.9,72.4,74.9,NA,"Ladakh","Based on 25-49 unweighted cases","","",""
"2606","7. Population living in households with electricity (%)",99.1,99.5,99.5,98.7,"Ladakh","","","",""
"2607","8. Population living in households with an improved drinking-water source1 (%)",97.2,86.7,88.7,83,"Ladakh","","","",""
"2608","9. Population living in households that use an improved sanitation facility2 (%)",74.7,34.8,42.3,17.8,"Ladakh","","","",""
"2609","10. Households using clean fuel for cooking3 (%)",97.2,71.3,76.3,67.6,"Ladakh","","","",""
"2610","11. Households using iodized salt (%)",99.3,98.7,98.8,98.8,"Ladakh","","","",""
"2611","12. Households with any usual member covered under a health insurance/financing scheme (%)",26.7,12.1,14.9,2.3,"Ladakh","","","",""
"2612","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",NA,0,0.7,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2613","14. Women who are literate4 (%)",77.7,76.6,76.8,NA,"Ladakh","","","",""
"2614","15. Men who are literate4 (%)",91.9,94.2,93.7,NA,"Ladakh","","","",""
"2615","16. Women with 10 or more years of schooling (%)",53.8,49.2,50,44.6,"Ladakh","","","",""
"2616","17. Men with 10 or more years of schooling (%)",64.1,74.8,72.7,57.1,"Ladakh","","","",""
"2617","18. Women who have ever used the internet (%)",66.5,54,56.4,NA,"Ladakh","","","",""
"2618","19. Men who have ever used the internet (%)",82.9,64.3,67.8,NA,"Ladakh","Based on 25-49 unweighted cases","","",""
"2619","20. Women age 20-24 years married before age 18 years (%)",0,3.1,2.5,4.9,"Ladakh","","","",""
"2620","21. Men age 25-29 years married before age 21 years (%)",NA,21.9,20.2,12.4,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"2621","22. Total fertility rate (children per woman)",1.4,1.3,1.3,2.3,"Ladakh","","","",""
"2622","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0,0,0,1,"Ladakh","","","",""
"2623","24. Adolescent fertility rate for women age 15-19 years5",0,2,2,9,"Ladakh","","","",""
"2624","25. Neonatal mortality rate (NNMR)",NA,12.1,11.4,25.7,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"2625","26. Infant mortality rate (IMR)",NA,17.4,20,35.3,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"2626","27. Under-five mortality rate (U5MR)",NA,27.4,29.5,40.6,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"2627","28. Any method6 (%)",50.6,51.5,51.3,66.6,"Ladakh","","","",""
"2628","29. Any modern method6 (%)",46,48.5,48,64.7,"Ladakh","","","",""
"2629","30. Female sterilization (%)",16.6,16.8,16.7,21.8,"Ladakh","","","",""
"2630","31. Male sterilization (%)",0.3,0.4,0.4,0.1,"Ladakh","","","",""
"2631","32. IUD/PPIUD (%)",8.1,7.9,7.9,30.1,"Ladakh","","","",""
"2632","33. Pill (%)",5.3,6.9,6.6,3.4,"Ladakh","","","",""
"2633","34. Condom (%)",8.2,9.1,9,7.4,"Ladakh","","","",""
"2634","35. Injectables (%)",6.2,6.1,6.2,1.8,"Ladakh","","","",""
"2635","36. Total unmet need7 (%)",11.5,7,7.9,9.6,"Ladakh","","","",""
"2636","37. Unmet need for spacing7 (%)",5,3.8,4,5.9,"Ladakh","","","",""
"2637","38. Health worker ever talked to female non-users about family planning (%)",11.8,12.4,12.2,8.8,"Ladakh","","","",""
"2638","39. Current users ever told about side effects of current method8 (%)",68.8,57.3,59.4,28.1,"Ladakh","","","",""
"2639","40. Mothers who had an antenatal check-up in the first trimester (%)",84.5,86.1,85.8,79.5,"Ladakh","","","",""
"2640","41. Mothers who had at least 4 antenatal care visits (%)",78.2,78.5,78.4,87.5,"Ladakh","","","",""
"2641","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",95.6,93.9,94.2,91.9,"Ladakh","","","",""
"2642","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",13.8,14.5,14.3,29.5,"Ladakh","","","",""
"2643","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",7.1,7.3,7.3,9.8,"Ladakh","","","",""
"2644","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.2,97.4,97.8,93.7,"Ladakh","","","",""
"2645","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",80.1,79.5,79.6,83.3,"Ladakh","","","",""
"2646","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3911,3779,3807,2669,"Ladakh","","","",""
"2647","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,0,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases",""
"2648","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",82.9,75.1,76.7,NA,"Ladakh","","","",""
"2649","50. Institutional births (%)",99.1,94,95.1,90.8,"Ladakh","","","",""
"2650","51. Institutional births in public facility (%)",98.4,93.7,94.7,89.4,"Ladakh","","","",""
"2651","52. Home births that were conducted by skilled health personnel10 (%)",0.9,2.6,2.3,2,"Ladakh","","","",""
"2652","53. Births attended by skilled health personnel10 (%)",100,96.2,97,91.5,"Ladakh","","","",""
"2653","54. Births delivered by caesarean section (%)",47.7,35,37.6,16.1,"Ladakh","","","",""
"2654","55. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,NA,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2655","56. Births in a public health facility that were delivered by caesarean section (%)",47.8,37,39.3,17.1,"Ladakh","","","",""
"2656","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",NA,91.9,88.2,81.9,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2657","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,100,100,92.5,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2658","59. Children age 12-23 months who have received BCG (%)",NA,100,99.1,98.4,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2659","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",NA,91.9,88.2,87,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2660","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",NA,94.8,95,89.7,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2661","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",NA,94.8,92.9,92.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2662","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",NA,41.6,43.2,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2663","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",NA,9.9,10.6,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2664","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",NA,94.8,94.1,82.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2665","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",94.2,85.2,87.1,68.4,"Ladakh","","","",""
"2666","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",NA,100,100,100,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2667","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",NA,0,0,0,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2668","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",13.7,7.1,8.5,3.1,"Ladakh","","","",""
"2669","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,88.9,78.3,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2670","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,53.1,54.5,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2671","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,79.6,75,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2672","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",10.5,4,5.3,1,"Ladakh","","","",""
"2673","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",53.1,58.8,57.3,74.8,"Ladakh","Based on 25-49 unweighted cases","","","Based on 25-49 unweighted cases"
"2674","75. Children under age 3 years breastfed within one hour of birth15 (%)",59.2,57.6,57.9,60,"Ladakh","","","",""
"2675","76. Children under age 6 months exclusively breastfed16 (%)",NA,66.6,70.9,64.1,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"2676","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,42.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"2677","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,19.9,20.7,22,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"2678","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2679","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",25.3,23.6,24,23.9,"Ladakh","Based on 25-49 unweighted cases","","",""
"2680","81. Children under 5 years who are stunted (height-for-age)18 (%)",28.2,31.1,30.5,30.9,"Ladakh","","","",""
"2681","82. Children under 5 years who are wasted (weight-for-height)18 (%)",14.8,18.2,17.5,9.3,"Ladakh","","","",""
"2682","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.8,10,9.1,5.1,"Ladakh","","","",""
"2683","84. Children under 5 years who are underweight (weight-for-age)18 (%)",17,21.2,20.4,18.7,"Ladakh","","","",""
"2684","85. Children under 5 years who are overweight (weight-for-height)20 (%)",17,12.4,13.4,4,"Ladakh","","","",""
"2685","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",3.7,4.5,4.4,10.5,"Ladakh","","","",""
"2686","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.7,2,2.1,11.2,"Ladakh","","","",""
"2687","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",28.5,28.2,28.3,16.3,"Ladakh","","","",""
"2688","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",43.4,36.4,37.8,18.8,"Ladakh","","","",""
"2689","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",88.6,85.8,86.3,NA,"Ladakh","","","",""
"2690","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",63.3,60.2,60.8,NA,"Ladakh","","","",""
"2691","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",84.1,95.1,92.5,91.4,"Ladakh","","","",""
"2692","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",91,94.3,93.7,78.4,"Ladakh","","","",""
"2693","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",67.5,80.8,78.1,79.3,"Ladakh","Based on 25-49 unweighted cases","","",""
"2694","95. All women age 15-49 years who are anaemic22 (%)",89.5,93.5,92.8,78.4,"Ladakh","","","",""
"2695","96. All women age 15-19 years who are anaemic22 (%)",92.4,97.8,96.9,81.6,"Ladakh","","","",""
"2696","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",72.4,76.4,75.6,41.2,"Ladakh","","","",""
"2697","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,95.8,93.1,57.6,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"2698","99. Blood sugar level - high (141-160 mg/dl)23 (%)",3.4,4,3.9,NA,"Ladakh","","","",""
"2699","100. Blood sugar level - very high (>160 mg/dl)23 (%)",1.7,1.8,1.8,NA,"Ladakh","","","",""
"2700","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",6.4,6.8,6.7,NA,"Ladakh","","","",""
"2701","102. Blood sugar level - high (141-160 mg/dl)23 (%)",3.3,4.7,4.4,NA,"Ladakh","","","",""
"2702","103. Blood sugar level - very high (>160 mg/dl)23 (%)",0.8,2.9,2.5,NA,"Ladakh","","","",""
"2703","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",5.4,8.9,8.3,NA,"Ladakh","","","",""
"2704","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",8.2,10.9,10.4,NA,"Ladakh","","","",""
"2705","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",1.6,1.7,1.7,NA,"Ladakh","","","",""
"2706","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",13.5,16.3,15.7,NA,"Ladakh","","","",""
"2707","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",8.5,11.9,11.2,NA,"Ladakh","","","",""
"2708","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",1.5,2.5,2.3,NA,"Ladakh","","","",""
"2709","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",14.5,18.1,17.4,NA,"Ladakh","","","",""
"2710","111. Ever undergone a screening test for cervical cancer (%)",0.4,0.2,0.3,NA,"Ladakh","","","",""
"2711","112. Ever undergone a breast examination for breast cancer (%)",0,0.2,0.2,NA,"Ladakh","","","",""
"2712","113. Ever undergone an oral cavity examination for oral cancer (%)",0,0.2,0.2,NA,"Ladakh","","","",""
"2713","114. Ever undergone an oral cavity examination for oral cancer (%)",0,0,0,NA,"Ladakh","Based on 25-49 unweighted cases","","",""
"2714","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",15.6,26.4,24.3,26.4,"Ladakh","","","",""
"2715","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",54.4,23.7,29.6,12.1,"Ladakh","","","",""
"2716","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80.1,72.4,73.9,68.8,"Ladakh","","","",""
"2717","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",87.8,78.7,80.4,80.6,"Ladakh","","","",""
"2718","119. Currently married women who usually participate in three household decisions25 (%)",81.2,80.3,80.4,87.6,"Ladakh","Based on 25-49 unweighted cases","","",""
"2719","120. Women who worked in the last 12 months and were paid in cash (%)",28.6,28.3,28.3,16.4,"Ladakh","","","",""
"2720","121. Women owning a house and/or land (alone or jointly with others) (%)",69,73,72.2,42.6,"Ladakh","","","",""
"2721","122. Women having a bank or savings account that they themselves use (%)",87.2,88.7,88.4,75.9,"Ladakh","","","",""
"2722","123. Women having a mobile phone that they themselves use (%)",80.8,81.2,81.2,71.2,"Ladakh","","","",""
"2723","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",90.9,75.2,78.2,64,"Ladakh","","","",""
"2724","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",11.7,19,18.1,8.5,"Ladakh","Based on 25-49 unweighted cases","","",""
"2725","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,1.2,1.1,0,"Ladakh","Based on 25-49 unweighted cases","","",""
"2726","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",6.1,9,8.7,1.2,"Ladakh","Based on 25-49 unweighted cases","","",""
"2727","128. Women age 15 years and above who use any kind of tobacco (%)",3.5,3.1,3.2,NA,"Ladakh","","","",""
"2728","129. Men age 15 years and above who use any kind of tobacco (%)",39.8,34.8,35.7,NA,"Ladakh","","","",""
"2729","130. Women age 15 years and above who consume alcohol (%)",5.3,3.4,3.8,NA,"Ladakh","","","",""
"2730","131. Men age 15 years and above who consume alcohol (%)",21.1,24.2,23.6,NA,"Ladakh","","","",""
"2731","1. Female population age 6 years and above who ever attended school (%)",91.9,96.9,93,91.1,"Lakshadweep","","","",""
"2732","2. Population below age 15 years (%)",21.7,24.6,22.3,23.2,"Lakshadweep","","","",""
"2733","3. Sex ratio of the total population (females per 1,000 males)",1193,1166,1187,1022,"Lakshadweep","","","",""
"2734","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",964,NA,1051,905,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2735","5. Children under age 5 years whose birth was registered with the civil authority (%)",100,100,100,99.1,"Lakshadweep","","","",""
"2736","6. Deaths in the last 3 years registered with the civil authority (%)",98.4,NA,96.6,NA,"Lakshadweep","","Percentage not shown; based on fewer than 25 unweighted cases","",""
"2737","7. Population living in households with electricity (%)",99.7,100,99.8,100,"Lakshadweep","","","",""
"2738","8. Population living in households with an improved drinking-water source1 (%)",94.6,86.7,92.9,91.1,"Lakshadweep","","","",""
"2739","9. Population living in households that use an improved sanitation facility2 (%)",99.7,100,99.8,99.6,"Lakshadweep","","","",""
"2740","10. Households using clean fuel for cooking3 (%)",68.5,24.7,59.4,31.8,"Lakshadweep","","","",""
"2741","11. Households using iodized salt (%)",95.8,100,96.7,96.3,"Lakshadweep","","","",""
